ROWID  RA DEC PSFMAG_R PRIORITY_FLAG
901011615202893   89.2797939247  -40.4477882333 17.05 7
901011615205984   89.3782092631  -40.4976130248 17.14 7
901011615307246   89.7630257450  -40.5277588306 16.99 7
901011615402611   89.9133394739  -40.5492345296 17.44 6
901011615404719   89.9743911753  -40.5576793860 17.90 5
901011615511634   90.4870683860  -40.4401830837 17.74 5
901011615601823   90.5446986862  -40.6066482118 17.06 7
901011615602916   90.5751892711  -40.3828363350 16.81 7
901011615604499   90.6230401008  -40.4114120214 17.61 5
901011615606746   90.6937364566  -40.5689420048 16.98 7
901011615800710   91.1632649145  -40.5708767812 16.71 7
901011615804179   91.2634828725  -40.4511761306 17.84 5
901011615811553   91.4481160699  -40.3913947306 16.81 7
901011615907092   91.6523695504  -40.6198923430 17.75 5
901011615908506   91.6875147518  -40.5325858159 17.54 5
901011615911582   91.7631691560  -40.4570623114 17.39 6
901011616005621   91.9310743097  -40.6091984137 17.33 6
901011616007582   91.9756276791  -40.5807821890 17.02 7
901011616110954   92.4070334254  -40.5803931060 16.79 7
901011616303056   92.8700165503  -40.4478481029 17.92 5
901011616305215   92.9367719347  -40.3902781903 17.19 7
901011616400714   93.1338825426  -40.4326613337 17.89 5
901011616402486   93.1899599985  -40.5136441807 16.65 7
901011616403548   93.2223843628  -40.4825397819 16.60 7
901011724400613   86.9139984439  -40.3016749752 16.90 7
901011724503405   87.3611345622  -40.1410671566 16.84 7
901011724703448   88.0106791616  -40.3375942422 16.68 7
901011724707322   88.1485825203  -40.2018650397 16.92 7
901011724905091   88.7155999045  -40.3619751443 17.41 6
901011725007305   89.1308211583  -40.2493599264 17.17 7
901011725103258   89.2942776275  -40.3315155069 16.75 7
901011725200083   89.5104452401  -40.3414087247 16.93 7
901011725303018   89.9309196610  -40.3428920184 17.41 6
901011725308058   90.0816060534  -40.1856707014 17.71 5
901011725400629   90.1780883863  -40.1933590880 17.91 5
901011725409032   90.4316932778  -40.2937560732 17.17 7
901011725711017   91.4391432034  -40.2630886787 17.04 7
901011725802329   91.5227356048  -40.3038175191 17.71 5
901011725901157   91.8284656260  -40.1728598859 17.01 7
901011726002174   92.1734212006  -40.2644122911 17.68 5
901011726201555   92.8137050308  -40.3434748681 16.64 7
901011726202319   92.8344543292  -40.2748827123 17.18 7
901011726205009   92.9038969943  -40.3255962691 17.44 6
901011726205833   92.9249440167  -40.1756205209 17.45 6
901011726207947   92.9837818666  -40.3306598581 17.09 7
901011726208551   93.0006347123  -40.3653170193 16.71 7
901011726300895   93.1280483496  -40.1310363110 17.05 7
901011726302609   93.1791503635  -40.2498006644 16.68 7
901011726303000   93.1920337330  -40.3175701077 16.73 7
901011726309037   93.3610203013  -40.3565100016 16.69 7
901011834801465   87.2860270585  -40.0988416355 17.57 5
901011834803834   87.3825859043  -39.9389573706 17.11 7
901011834806314   87.4792333202  -39.8928699535 17.05 7
901011834903715   87.6946430614  -39.8758753197 16.78 7
901011835001415   87.9270157206  -40.0784786169 17.36 6
901011835008204   88.1561397611  -40.1181089591 17.22 7
901011835009580   88.2042145244  -39.9876251176 17.42 6
901011835103506   88.3320532894  -40.0331995755 17.55 5
901011835205110   88.7261143145  -40.0969162081 17.44 6
901011835306612   89.1069441625  -40.0905424561 17.15 7
901011835406599   89.4270521389  -40.1003859930 17.46 6
901011835600282   89.8452653109  -40.0450462905 16.68 7
901011835605201   90.0048237384  -40.0643010520 17.73 5
901011835609778   90.1480574349  -40.0406273379 16.60 7
901011835801216   90.5118720726  -39.9046757640 17.47 6
901011835801253   90.5125647868  -40.0311149583 16.86 7
901011835802481   90.5401336279  -40.1117664113 17.08 7
901011835802710   90.5448103904  -39.9065105591 16.61 7
901011835805976   90.6277267245  -40.1039679207 16.99 7
901011835810132   90.7352712969  -39.9801336976 17.14 7
901011835810317   90.7396248922  -39.9055104749 16.73 7
901011835902932   90.8925806169  -40.0963219034 17.96 5
901011835911108   91.1336645505  -39.9883760903 17.04 7
901011836000744   91.1591198401  -40.1059356867 17.07 7
901011836003395   91.2364714433  -40.1236560444 17.07 7
901011836003917   91.2518132180  -40.0234935031 16.70 7
901011836006194   91.3176050454  -39.9023393017 16.81 7
901011836107543   91.6719290589  -40.0059827525 17.04 7
901011836110501   91.7598562599  -39.9578469222 16.95 7
901011836202891   91.8720680371  -40.0058325297 17.82 5
901011836203300   91.8837308245  -39.8830936297 16.65 7
901011836204320   91.9130307330  -39.8841812379 16.70 7
901011836210157   92.0941915206  -40.0959984824 16.92 7
901011836400387   92.4491150464  -39.9779347997 16.89 7
901011836406214   92.6208642294  -39.9848556392 17.04 7
901011836408531   92.6868188883  -39.8864093685 17.43 6
901011836500236   92.7705046808  -40.0340574472 16.63 7
901011836502163   92.8261814384  -39.9275108085 17.07 7
901011836505765   92.9316704835  -39.9031246391 16.64 7
901011836506151   92.9439200569  -39.9758701833 17.59 5
901011836509332   93.0344422523  -39.8977840299 17.22 7
901011945404001   87.0585846057  -39.8235099241 17.44 6
901011945505386   87.4567519975  -39.7372744255 16.84 7
901011945505825   87.4743936198  -39.7173685259 17.64 5
901011945506937   87.5179457357  -39.8621747819 16.96 7
901011945600869   87.6007227342  -39.6492266350 16.85 7
901011945604310   87.7339051147  -39.8524799031 16.81 7
901011945606141   87.8085135207  -39.8088226593 16.84 7
901011945802642   88.3159261934  -39.8332733097 16.62 7
901011945805023   88.4010949355  -39.6624463079 17.13 7
901011945902199   88.6110229629  -39.6987048683 16.99 7
901011945908743   88.8416317636  -39.8247288229 17.06 7
901011946102677   89.2866954452  -39.7052475950 16.98 7
901011946105485   89.3896585378  -39.7394198314 17.09 7
901011946200869   89.5417300427  -39.8689021117 17.56 5
901011946201601   89.5661825722  -39.8055289391 16.85 7
901011946203884   89.6397822711  -39.7279834177 17.45 6
901011946206243   89.7134451793  -39.6365043445 17.07 7
901011946302155   89.9099396322  -39.8232687082 16.93 7
901011946400332   90.1717543182  -39.6909750757 17.14 7
901011946406650   90.4048358533  -39.8694670362 16.82 7
901011946407078   90.4182450041  -39.7086631848 17.12 7
901011946509360   90.7637289680  -39.6466426469 16.73 7
901011946509551   90.7688461347  -39.7573817597 16.88 7
901011946602084   90.8709773405  -39.6372711270 17.71 5
901011946702069   91.1897009833  -39.8259446989 16.86 7
901011946802261   91.5220306710  -39.8431940073 16.95 7
901011946805001   91.6013752959  -39.6346820240 16.86 7
901011946807136   91.6648608951  -39.7285265466 16.91 7
901011946809086   91.7208275773  -39.7829253761 16.67 7
901011946809784   91.7430770080  -39.8007727395 17.31 6
901011946810516   91.7649706181  -39.6442562163 17.92 5
901011947002460   92.1759046378  -39.7725700308 17.31 6
901011947002851   92.1875208929  -39.6653468514 16.96 7
901011947104862   92.5775062029  -39.7644770959 17.18 7
901011947105762   92.6059496534  -39.8295664167 16.82 7
901011947109287   92.7243337581  -39.6429210618 17.29 6
901011947201044   92.7875130580  -39.7051406250 16.61 7
901011947300420   93.0896743921  -39.7805018068 16.82 7
901011947306550   93.2792167666  -39.6784548984 16.76 7
901011947307292   93.3014876291  -39.7805453221 17.49 6
901012056503230   87.0477331102  -39.4967272854 17.17 7
901012056601020   87.2912081288  -39.4772881323 16.93 7
901012056701569   87.6299532795  -39.4767340763 16.91 7
901012056704903   87.7488066762  -39.5385198821 17.92 5
901012056804733   88.0743379197  -39.6154795229 16.72 7
901012056806370   88.1395937728  -39.4366647458 17.43 6
901012056904727   88.3996869338  -39.5480444488 17.97 5
901012057003046   88.6586368452  -39.3885563289 17.74 5
901012057005902   88.7599748254  -39.5258977563 17.53 5
901012057106542   89.1298635805  -39.5600469121 16.77 7
901012057207310   89.4631020542  -39.5659888218 16.71 7
901012057501987   90.2160544508  -39.4943783077 17.02 7
901012057507213   90.3898336425  -39.5818943396 17.41 6
901012057507386   90.3957546229  -39.5015607510 16.88 7
901012057603598   90.6234699276  -39.3782672955 17.13 7
901012057608538   90.7889755274  -39.4194427330 16.89 7
901012057701181   90.8408528731  -39.5125757287 17.09 7
901012057702190   90.8717267763  -39.4609505466 17.02 7
901012057702434   90.8791610625  -39.3840994117 17.00 7
901012057804873   91.2853600724  -39.4560446009 16.95 7
901012057902365   91.5311888997  -39.4754018837 16.91 7
901012057902524   91.5366257686  -39.4220017729 17.10 7
901012057903222   91.5618755559  -39.5162872592 16.93 7
901012057909386   91.7519029001  -39.6150050224 17.05 7
901012058004510   91.9183052705  -39.5161252158 17.36 6
901012058004997   91.9333371383  -39.4130895371 17.50 5
901012058006814   91.9892015958  -39.3809333897 17.07 7
901012058102033   92.1596844679  -39.4294499248 16.95 7
901012058104037   92.2191167027  -39.4962340476 17.42 6
901012058108429   92.3372464907  -39.6010649360 17.30 6
901012058302040   92.8056525875  -39.5011354351 16.61 7
901012058303026   92.8361807203  -39.4465054594 16.65 7
901012058303521   92.8498765309  -39.5512457040 17.81 5
901012058304146   92.8678091617  -39.6070384825 16.66 7
901012058306975   92.9485219682  -39.4964928514 16.78 7
901012058405453   93.2451576905  -39.4881923569 17.71 5
901012058406137   93.2692208322  -39.3761870291 17.08 7
901012168204492   87.7539665585  -39.2343968599 16.63 7
901012168206913   87.8401866996  -39.2649597788 17.13 7
901012168306110   88.1402052010  -39.3258838716 16.63 7
901012168406142   88.4335526053  -39.1466608638 17.87 5
901012168500439   88.5632375211  -39.1761145919 16.70 7
901012168500651   88.5697582041  -39.2724920593 16.73 7
901012168608080   89.1614625089  -39.2652821296 17.11 7
901012168803126   89.6236886240  -39.1888955849 16.72 7
901012168804084   89.6556498966  -39.2121174302 17.08 7
901012168804324   89.6636965013  -39.2455712207 17.87 5
901012168809167   89.8212223219  -39.3439556705 17.73 5
901012168900937   89.8683458763  -39.1639837914 16.84 7
901012168901996   89.9061347415  -39.1473981007 17.59 5
901012168905011   90.0149972680  -39.3289073999 17.27 6
901012169000374   90.1709289789  -39.2634409597 16.78 7
901012169002627   90.2456123151  -39.2227663098 16.71 7
901012169003032   90.2566172445  -39.2470934630 17.36 6
901012169004647   90.3036851472  -39.1762051632 17.86 5
901012169005528   90.3326407735  -39.1261692737 16.97 7
901012169200688   90.8254233869  -39.2958852338 17.09 7
901012169201905   90.8634576447  -39.3368502878 17.57 5
901012169203112   90.9022822970  -39.1594020125 16.72 7
901012169209365   91.0927762475  -39.1955403603 16.71 7
901012169304337   91.2500317643  -39.2951561499 16.64 7
901012169308872   91.3750674704  -39.1708059435 17.85 5
901012169401477   91.4880788570  -39.2116069916 17.71 5
901012169404944   91.5873989413  -39.2123460324 16.83 7
901012169408406   91.6876237815  -39.2568803348 16.77 7
901012169504591   91.9057564431  -39.2828010349 16.89 7
901012169506641   91.9632348997  -39.2200518249 17.67 5
901012169508909   92.0291968852  -39.2625492966 16.65 7
901012169509017   92.0325393027  -39.2300348396 17.13 7
901012169703871   92.5195114943  -39.3530664160 16.92 7
901012169708494   92.6495788125  -39.3070434634 17.56 5
901012169708972   92.6635521182  -39.2529894097 16.70 7
901012169806407   92.9330325159  -39.3219654644 17.55 5
901012169806439   92.9340885273  -39.2904992383 16.75 7
901012169904369   93.1942964734  -39.2375084758 16.66 7
901012280000150   87.2753173609  -38.9041124010 17.16 7
901012280206632   88.1374140386  -38.9974319872 17.08 7
901012280406421   88.7723435331  -39.0850214627 17.03 7
901012280407214   88.7982871259  -38.8845018725 17.57 5
901012280408127   88.8291697773  -39.0427432405 16.97 7
901012280504823   89.0350720828  -39.0457759479 16.85 7
901012280508858   89.1753054222  -39.0416172882 16.77 7
901012280605546   89.3884141981  -39.0689992097 16.79 7
901012280707573   89.7570741550  -39.0739311936 17.66 5
901012280709508   89.8184999299  -38.9315632218 16.60 7
901012280802543   89.9139987218  -39.0150617975 16.89 7
901012280804563   89.9756787004  -38.9131810223 17.73 5
901012280901293   90.1983812785  -39.0179028384 16.66 7
901012280907157   90.3998299708  -38.9686484424 17.96 5
901012281001750   90.5377645395  -39.0482427403 16.85 7
901012281001997   90.5460032988  -38.9217961077 17.92 5
901012281003146   90.5842045004  -38.9218140889 17.25 7
901012281007668   90.7378766639  -39.0055349106 17.18 7
901012281104427   90.9485756808  -39.1145182507 17.69 5
901012281106027   90.9994801534  -39.0112587091 16.64 7
901012281207553   91.3180826010  -38.9632316612 17.03 7
901012281209488   91.3678049755  -38.9181748142 17.06 7
901012281304958   91.5665034124  -39.0479298658 17.75 5
901012281310019   91.6894228253  -38.8797836183 17.40 6
901012281406061   91.9220764919  -39.0675651650 17.48 6
901012281502524   92.1570240881  -39.0993559230 17.42 6
901012281503359   92.1828812744  -38.9297338686 17.06 7
901012281504264   92.2093391150  -39.0057177673 17.08 7
901012281508075   92.3231695554  -38.9389937755 17.18 7
901012281608453   92.6723068145  -38.9708351128 17.37 6
901012281608669   92.6793507522  -38.9760474439 17.61 5
901012281702826   92.8154956326  -38.9292480668 16.97 7
901012281703143   92.8248322830  -38.9962471858 16.66 7
901012281707151   92.9580316159  -39.0681373370 17.44 6
901012281708348   92.9977658861  -39.0675412495 17.64 5
901012392503171   88.0358378254  -38.8194047018 16.71 7
901012392605411   88.4278769340  -38.8179592081 16.84 7
901012392606436   88.4621495716  -38.6889989993 16.62 7
901012392801498   88.9252809229  -38.7323532537 16.82 7
901012392902520   89.2838224558  -38.6636837963 16.63 7
901012392904612   89.3519708651  -38.6945930805 17.63 5
901012393009378   89.8115729018  -38.6764300317 16.64 7
901012393105361   89.9996817583  -38.7776491591 17.04 7
901012393106387   90.0299680708  -38.7014498176 17.52 5
901012393202190   90.2280519856  -38.7733074768 16.90 7
901012393202637   90.2421504887  -38.8743531658 17.34 6
901012393204539   90.3076731932  -38.7137641281 17.40 6
901012393206887   90.3948667604  -38.6762696364 17.41 6
901012393408809   91.0346769807  -38.8014485557 17.52 5
901012393410066   91.0703112420  -38.7010044494 17.23 7
901012393505049   91.2588637434  -38.6767271221 17.67 5
901012393611902   91.7434332523  -38.8217248143 17.02 7
901012393703277   91.8522763196  -38.7832450847 16.61 7
901012393704965   91.9037652056  -38.6918464296 17.98 5
901012393803838   92.1896939609  -38.6628003948 17.16 7
901012393810164   92.3915789020  -38.6575078159 16.89 7
901012394001514   92.7592932930  -38.7238358257 16.65 7
901012394004830   92.8692695024  -38.8705743480 16.84 7
901012394005426   92.8913108164  -38.8480044290 17.22 7
901012394006471   92.9302769099  -38.7875053077 17.66 5
901012505301951   88.3083076513  -38.4736537971 17.41 6
901012505302491   88.3287808370  -38.4946888237 17.05 7
901012505307694   88.5035562601  -38.4859039718 17.40 6
901012505401416   88.6033912908  -38.4218920419 16.77 7
901012505404095   88.6832356353  -38.5193519481 17.69 5
901012505406225   88.7552048316  -38.4933767375 16.73 7
901012505503758   89.0123048121  -38.4227023039 17.24 7
901012505506679   89.1171230680  -38.4131179503 16.99 7
901012505604189   89.3254161853  -38.4640664825 16.78 7
901012505700550   89.5366206355  -38.5621734279 17.02 7
901012505704292   89.6535281000  -38.6215037969 17.78 5
901012505806913   90.0455715317  -38.6013123843 17.58 5
901012505809483   90.1294362400  -38.5900399937 17.74 5
901012505904210   90.3021956997  -38.3983569764 16.74 7
901012505905622   90.3537412485  -38.5340916455 17.12 7
901012505907717   90.4210995637  -38.5642410399 17.25 6
901012506101012   90.8242524853  -38.4188980023 16.90 7
901012506107748   91.0242690559  -38.4309691397 17.28 6
901012506308731   91.6718205010  -38.3985174288 17.02 7
901012506400900   91.7692751659  -38.5066263594 17.52 5
901012506401483   91.7828764443  -38.4970533180 17.21 7
901012506404282   91.8524674482  -38.5062710155 17.68 5
901012506406738   91.9211621381  -38.5546987231 16.83 7
901012506411774   92.0567256122  -38.6181593848 16.64 7
901012506503410   92.1683290684  -38.4198547274 17.39 6
901012506509088   92.3379795725  -38.3822287215 17.19 7
901012506602089   92.4568176190  -38.4808588974 17.19 7
901012506605543   92.5808853302  -38.3806371967 16.76 7
901012506701964   92.7803046545  -38.5713993679 16.97 7
901012618302132   88.0002390060  -38.3458624017 17.13 7
901012618304605   88.0783304972  -38.1716337906 17.55 5
901012618307827   88.1808291114  -38.2185973161 17.32 6
901012618309662   88.2379546523  -38.2268947191 16.85 7
901012618501413   88.6158913230  -38.1933361903 17.73 5
901012618604523   89.0396623743  -38.1742033922 16.75 7
901012618604915   89.0534279467  -38.2873758691 17.27 6
901012618606396   89.1072101254  -38.1717002002 16.82 7
901012618708078   89.4597759137  -38.2789693608 17.46 6
901012618801360   89.5624876520  -38.2967295891 17.20 7
901012618802013   89.5835068254  -38.2693985554 17.99 5
901012618805397   89.6992414852  -38.1454106223 17.24 7
901012618902646   89.9209661800  -38.3082731037 17.92 5
901012618903414   89.9459678786  -38.2024606161 17.24 7
901012618904610   89.9830828419  -38.1496356382 17.87 5
901012618908441   90.1125791262  -38.1319721874 16.95 7
901012619007387   90.4071343176  -38.2749540790 16.72 7
901012619100213   90.4797272257  -38.2620723427 17.69 5
901012619108577   90.7351044749  -38.1930490731 16.61 7
901012619110556   90.7857205188  -38.1858579068 17.29 6
901012619205841   90.9417191710  -38.2916708600 16.94 7
901012619409157   91.6761091465  -38.1641010890 17.02 7
901012619410525   91.7128692671  -38.2276912262 17.11 7
901012619500662   91.7607536878  -38.3723597981 16.71 7
901012619609304   92.3467442099  -38.3025284711 17.07 7
901012619702078   92.4426298908  -38.2940264570 16.88 7
901012731900238   88.2662645666  -38.0255613023 16.78 7
901012731905174   88.4332798860  -38.0558648956 17.44 6
901012732005145   88.7697112648  -38.0241821772 17.12 7
901012732005287   88.7752941379  -38.1223802951 17.50 5
901012732102754   88.9820480462  -37.9905124599 16.87 7
901012732107229   89.1238151184  -37.8790917322 17.48 6
901012732200402   89.2190111180  -38.1110703975 17.43 6
901012732202299   89.2813880204  -37.8966581960 17.26 6
901012732205560   89.3949274064  -37.9760281939 17.02 7
901012732206802   89.4342996120  -37.9498060725 17.73 5
901012732208526   89.4891305188  -38.0497541956 17.56 5
901012732209522   89.5226924702  -38.0131462608 17.14 7
901012732302393   89.5998988033  -37.9991526468 16.96 7
901012732307989   89.7904301317  -38.1223669610 17.75 5
901012732309113   89.8269072972  -37.9915352732 17.64 5
901012732400984   89.8680626208  -37.8836233360 17.04 7
901012732406016   90.0389669009  -38.0277368464 16.61 7
901012732407375   90.0829192513  -38.1179021370 17.69 5
901012732408509   90.1223901156  -38.0525608145 17.20 7
901012732500966   90.1860656395  -37.9535273148 17.25 7
901012732503533   90.2780249592  -37.8862720830 16.81 7
901012732509628   90.4692470349  -37.9666006159 16.83 7
901012732605735   90.6522547018  -38.0835731094 17.77 5
901012732609777   90.7731389559  -38.0997883611 17.71 5
901012732705318   90.9460391380  -37.9764021697 16.62 7
901012732708259   91.0251991212  -38.0862484663 16.77 7
901012732801185   91.1406454256  -37.9306312234 16.88 7
901012732907091   91.6177961852  -38.1236332319 16.94 7
901012733002139   91.8017988495  -37.8921195290 17.63 5
901012733003173   91.8284700925  -37.9965199945 16.66 7
901012733008333   91.9831024328  -38.1013663713 16.89 7
901012733103324   92.1687101244  -38.0996227003 16.65 7
901012846204192   89.6707035472  -37.7437144945 17.80 5
901012846303228   89.9646271560  -37.6556337052 16.71 7
901012846400737   90.1790106905  -37.6945951995 16.64 7
901012846404048   90.2950628857  -37.7378870472 16.73 7
901012846404910   90.3291045853  -37.7942477856 16.66 7
901012846407427   90.4197173116  -37.8101325853 16.83 7
901012846606052   90.9844427884  -37.6947691917 17.62 5
901012846609452   91.0864206751  -37.8598643560 16.94 7
901012846707824   91.3241231573  -37.8669519933 16.69 7
901012846807918   91.6471232150  -37.8172278498 16.87 7
901012960701393   90.2144616200  -37.5395770617 16.78 7
901012960702773   90.2698190744  -37.5513481874 17.65 5
901012960806143   90.6804551167  -37.5904422303 17.56 5
901023113203247   17.3559037222  -17.3828513768 16.67 7
901023113302272   17.6003970639  -17.4738912536 17.15 7
901023250702681   17.0527512492  -17.1908483880 16.69 7
901023250706058   17.1525277287  -17.1631693634 17.56 5
901023388207874   16.4193531095  -16.9771483619 16.96 7
901023388601960   17.3028680329  -16.9374138047 17.08 7
901023388806207   17.9198830298  -17.0235178634 17.91 5
901023388806691   17.9325732910  -16.9875557782 17.43 6
901023389006369   18.4407827123  -17.0049202177 17.28 6
901023526604059   17.8535814969  -16.8491066882 16.76 7
901023526700719   18.0172431197  -16.7498586591 17.39 6
901023526801585   18.2983017825  -16.8344730580 17.71 5
901023526801838   18.3043013144  -16.7792083597 17.37 6
901023527004762   18.9133702898  -16.8542409283 17.65 5
901023663906097   16.0408977889  -16.4637860350 17.48 6
901023664307241   17.1138095346  -16.6137381579 17.12 7
901023664602354   17.7809732042  -16.5194303323 17.41 6
901023664804581   18.3751684222  -16.5116158556 17.23 7
901023664901708   18.5412737455  -16.3999734237 16.88 7
901023664906508   18.6812388088  -16.4480839298 17.62 5
901023664907409   18.7067673030  -16.3856820968 17.29 6
901023802303038   16.4654920012  -16.3621772687 16.63 7
901023802802048   17.7536972378  -16.2462885120 16.81 7
901023940402688   15.6644439132  -15.9721317942 16.62 7
901023940903827   16.9855109238  -16.1240313730 17.33 6
901023941401238   18.2198139820  -16.1219724621 16.98 7
901024079007355   15.7850627818  -15.6740924922 17.11 7
901024079303760   16.4465586880  -15.8100689107 17.89 5
901024079706716   17.5473987753  -15.8000210092 17.23 7
901024218106326   16.4705932714  -15.6188242522 16.83 7
901024219009017   18.9015693642  -15.6029077022 16.60 7
901024356805138   15.6533941216  -15.1644330093 17.29 6
901024357008055   16.2398779438  -15.1689498834 17.59 5
901024357405169   17.2281216245  -15.3032599227 16.98 7
901024357504262   17.4416852511  -15.1542811783 16.93 7
901024357509073   17.5851226315  -15.2481916495 17.04 7
901024357701162   17.8786984032  -15.2585729393 17.66 5
901024495705375   14.9751681162  -15.0562896658 16.98 7
901024495904559   15.3983682301  -14.9111145525 17.08 7
901024496800992   17.6130638240  -15.0139998413 16.73 7
901024496806206   17.7501224978  -15.0900504097 17.89 5
901024635103195   15.3225216234  -14.6551305898 17.81 5
901024636104663   17.9495579448  -14.8257898902 16.62 7
901024636400157   18.5953340710  -14.6375353307 16.63 7
901024774606994   15.6805567794  -14.5838712306 17.11 7
901024775500521   17.8035970212  -14.5407874300 16.92 7
901024775505738   17.9458480260  -14.4028180002 17.53 5
901024775903779   18.9198638496  -14.6188829995 17.59 5
901024914801224   17.0280477274  -14.3244349667 17.66 5
901024914904469   17.3935875327  -14.2716959654 17.23 7
901024915007498   17.7168943785  -14.3667771816 17.58 5
901024915102948   17.8525685402  -14.2674661423 17.11 7
901024915106882   17.9661742537  -14.2276682112 17.17 7
901025054205534   16.1671736873  -14.0140429792 16.60 7
901025054301265   16.2623470394  -14.0515503107 16.90 7
901025054601421   17.0367588798  -13.9886332129 17.21 7
901025055107808   18.4679962485  -13.9235370518 17.33 6
901025055303834   18.8947462512  -13.9755596262 16.75 7
901025194002886   16.0589152469  -13.8628193955 16.95 7
901025194200905   16.4849166577  -13.7006938929 16.81 7
901025194304094   16.8466946544  -13.7859740598 17.26 6
901025194807217   18.1794026962  -13.7522698064 17.53 5
901025195001584   18.5484972104  -13.6611232487 17.83 5
901025195002435   18.5659395097  -13.8728190231 16.64 7
901025195006002   18.6500160913  -13.8205743547 16.79 7
901025334301881   16.7549188101  -13.5949548567 17.69 5
901026034004995    9.9200147810  -12.2610639705 16.86 7
901026034105684   10.1916990325  -12.1349522789 17.46 6
901026034202841   10.3546964125  -12.1311453589 16.75 7
901026034300721   10.5096329459  -12.3009503798 17.50 5
901026034304408   10.6624954629  -12.2885995405 16.61 7
901026174503188    9.0782155233  -11.9433093643 16.84 7
901026174600613    9.2145252260  -11.9312885498 17.67 5
901026174602260    9.2864786366  -11.9372423189 16.63 7
901026174700658    9.4702801344  -11.8841440193 17.72 5
901026174701670    9.5078467530  -11.8844432074 16.94 7
901026174704165    9.6117928486  -12.0417176251 16.97 7
901026174905306   10.1744972997  -11.9974796425 16.80 7
901026175503653   11.6674323719  -12.1123605129 16.62 7
901026315300445    8.4308659325  -11.7371455033 17.12 7
901026315601438    9.2522997143  -11.7622342377 17.51 5
901026316203450   10.9034397113  -11.8556420641 17.41 6
901026316400966   11.2620445331  -11.7950935819 16.95 7
901026316702067   12.0944835045  -11.7250419466 17.71 5
901026456603198    8.8395867131  -11.5799552569 17.34 6
901026456603642    8.8636991806  -11.4315672735 16.74 7
901026456904851    9.6600514238  -11.4818941460 17.19 7
901026457001666    9.7630518137  -11.5616870239 16.62 7
901026458000077   12.2406849984  -11.5846641244 17.04 7
901026458004036   12.4756877664  -11.6105997877 16.78 7
901026458100321   12.5085939818  -11.5688199444 17.15 7
901026458103385   12.6908659908  -11.4559522913 17.46 6
901026597501395    7.9558812622  -11.2155876719 16.78 7
901026597704528    8.6224396527  -11.2914965198 17.00 7
901026597803350    8.8113704141  -11.3232586461 17.18 7
901026598202327    9.7823205324  -11.1349198425 16.60 7
901026598800698   11.2406593090  -11.3583857171 17.44 6
901026599104521   12.2151903704  -11.2226477805 17.71 5
901026599300358   12.4957381611  -11.3189997127 17.56 5
901026739100138    8.3973136325  -11.0526162987 17.13 7
901026739302599    9.0153771764  -11.0213493350 17.42 6
901026739505442    9.6578691358  -11.0078798315 17.72 5
901026740003448   10.8392074567  -11.0209238526 17.77 5
901026740003621   10.8466836911  -10.9766444479 17.16 7
901026740500795   11.9983083509  -11.0248882894 17.12 7
901026740804006   12.8923095824  -11.0378634858 16.83 7
901026740900334   12.9815146027  -11.0070581099 17.52 5
901026740900780   13.0072014500  -11.0213983842 17.74 5
901026881003751    9.3082081581  -10.7317879223 17.12 7
901026881402000   10.2581083261  -10.7685341388 17.44 6
901026881504509   10.6384080388  -10.8179445912 17.12 7
901026881703004   11.0616894638  -10.7944381206 17.09 7
901026881902658   11.5625021495  -10.7694339902 16.94 7
901026882001066   11.7426298043  -10.7243479375 17.15 7
901026882001435   11.7581069724  -10.8468285524 16.76 7
901026882202047   12.3001437916  -10.7115676874 17.52 5
901026882401404   12.7728562204  -10.7569200178 16.69 7
901026882403233   12.8525356588  -10.8145662510 16.67 7
901027022603540    9.2828886724  -10.5436529331 17.48 6
901027022801954    9.7361552094  -10.3927928969 17.23 7
901027023200088   10.6642559267  -10.5434356844 17.65 5
901027023603555   11.8630557592  -10.5264659447 17.41 6
901027024102815   13.0827221867  -10.4062931323 17.50 5
901027024204275   13.4202043479  -10.4601373241 17.15 7
901027163703160    7.5056180560  -10.2188870746 17.14 7
901027163801884    7.7075717206  -10.2469691336 17.63 5
901027163904375    8.0931904540  -10.3241921868 17.46 6
901027164104820    8.6033074263  -10.1282317323 16.67 7
901027164503064    9.5399549113  -10.1814448173 17.41 6
901027164504170    9.5929664806  -10.1845627178 17.46 6
901027164604037    9.8625491492  -10.3714557876 17.16 7
901027164904022   10.6222724384  -10.2502179031 17.32 6
901027165004496   10.8885806172  -10.2327240836 16.68 7
901027165303894   11.6148311733  -10.2328958728 16.69 7
901027165401071   11.7330485615  -10.3057811141 16.67 7
901027165403903   11.8894622082  -10.2088308372 16.72 7
901027165701200   12.4960760197  -10.2285037335 17.78 5
901027165901762   13.0405449554  -10.1591793657 17.65 5
901027305600495    7.6320767437   -9.8810553697 16.64 7
901027305601761    7.6989925660   -9.8810107387 16.88 7
901027305601775    7.6997874737  -10.0598107024 16.90 7
901027305602880    7.7541094463   -9.9846623040 16.81 7
901027305902826    8.5115749026   -9.8787420745 17.61 5
901027306202464    9.2517431447   -9.9374239472 16.67 7
901027306600882   10.1954776228   -9.9624463260 17.60 5
901027306700543   10.4204013600  -10.0856235940 17.12 7
901027306701359   10.4592475979   -9.8910700012 16.61 7
901027307300424   11.9346785704   -9.9197478482 17.30 6
901027307700939   12.9780141387  -10.0455437792 16.66 7
901027307901363   13.5097062903   -9.9249077623 17.76 5
901027448203802    9.3093191049   -9.6969965041 16.87 7
