ROWID  RA DEC PSFMAG_R PRIORITY_FLAG
901004862309696  302.3437019833  -58.7634202354 17.09 7
901004862606703  303.6775403120  -58.8426894340 17.61 5
901004862700725  303.8623877095  -58.7908920468 17.20 7
901004862709954  304.2585225181  -58.7426181297 16.82 7
901004862710747  304.2932458281  -58.8412131195 17.54 5
901004862807391  304.6462612648  -58.7831457057 16.91 7
901004862904049  304.9624698148  -58.6576798260 16.92 7
901004862909193  305.1767386560  -58.7937088863 17.53 5
901004863101402  305.8173068448  -58.7222934825 17.30 6
901004863102629  305.8733789528  -58.7461625905 17.89 5
901004863105086  305.9870472799  -58.8487978958 17.46 6
901004863204861  306.4583758194  -58.6279449650 17.97 5
901004863206874  306.5575005138  -58.7944521860 17.12 7
901004863310289  307.1741688740  -58.7078897229 17.35 6
901004937403485  300.2144878943  -58.5330854193 17.62 5
901004937403836  300.2372399951  -58.4909983053 17.42 6
901004937404803  300.2989969559  -58.5060718962 17.97 5
901004937406353  300.4054900221  -58.4798327851 17.86 5
901004937506075  300.8345391129  -58.5616825922 17.18 7
901004937606711  301.2931907385  -58.4484189074 17.49 6
901004937701591  301.4996226023  -58.4998692409 16.63 7
901004937708292  301.7867902090  -58.5611380386 16.99 7
901004937803556  302.0532916526  -58.6171084610 17.14 7
901004937807541  302.2243831269  -58.4660478680 17.39 6
901004937808568  302.2693859629  -58.5975360657 17.98 5
901004937901679  302.4568656117  -58.4826591040 17.07 7
901004938003802  303.0211064145  -58.3915415467 17.07 7
901004938106776  303.6451965217  -58.4345639921 17.51 5
901004938108622  303.7269587098  -58.4079225703 17.42 6
901004938108972  303.7438802740  -58.5614214721 17.65 5
901004938109449  303.7675542350  -58.4910231668 17.46 6
901004938207678  304.1441200609  -58.3988436293 17.68 5
901004938300360  304.2923002027  -58.6113518831 16.91 7
901004938601236  305.7732149979  -58.5693224332 17.68 5
901004938601688  305.7956623141  -58.5951346326 17.51 5
901004938604345  305.9280370816  -58.5603701725 16.73 7
901004938702470  306.2961864238  -58.4789442650 17.26 6
901004938801398  306.7303660207  -58.4635131059 17.64 5
901004938807409  307.0032388641  -58.6018125159 17.27 6
901004938904391  307.3368990592  -58.4993362446 17.96 5
901004970310183   96.3625654442  -58.2582794991 17.07 7
901004970506042   97.2198250269  -58.2369492833 17.09 7
901004970603851   97.5412976927  -58.1449575888 16.66 7
901004970607848   97.7799174777  -58.1725067270 17.77 5
901004970705863   98.1690085071  -58.2174427229 17.26 6
901004970802798   98.4822149126  -58.1878138225 16.68 7
901005013500678  300.0349623083  -58.3642575314 16.81 7
901005013502266  300.1291483972  -58.2273271048 17.64 5
901005013503081  300.1780129598  -58.3216180857 17.93 5
901005013504542  300.2670795370  -58.2039879884 17.82 5
901005013508021  300.4630683970  -58.1758563505 17.60 5
901005013600401  300.4885240087  -58.2159566362 17.33 6
901005013608134  300.8756415336  -58.2550483157 17.57 5
901005013705910  301.1882692892  -58.2454429613 17.42 6
901005013802540  301.5305080008  -58.1690547171 17.69 5
901005013802619  301.5339445385  -58.2512678184 17.11 7
901005013809281  301.8486687323  -58.1906047112 16.98 7
901005013900620  301.9105649311  -58.1509972012 17.14 7
901005013902619  301.9903488008  -58.3314118587 17.95 5
901005013904529  302.0763464435  -58.1509701834 17.67 5
