ROWID  RA DEC PSFMAG_R
901003684204290   65.2716788782  -62.6634273422 13.88
901003684205387   65.3265551112  -62.6908482525 14.03
901003684205401   65.3273091608  -62.6594089737 14.07
901003684210661   65.6004414475  -62.6630826593 13.59
901003684300460   65.6191795639  -62.8399605834 13.80
901003684300669   65.6303977816  -62.7869443044 13.75
901003684303264   65.7584530040  -62.6567566204 13.67
901003684304956   65.8387032644  -62.6705464507 14.06
901003684308055   65.9879260017  -62.8405237075 13.85
901003684406065   66.3935235139  -62.8389853344 13.70
901003684406336   66.4044324620  -62.7514538302 13.69
901003684500206   66.6868717003  -62.8509324546 14.10
901003684503919   66.8288832430  -62.8383952078 14.03
901003684507395   66.9526764700  -62.6361327509 13.99
901003684507450   66.9547339698  -62.8049666584 14.03
901003684511137   67.1017729012  -62.7574542496 14.43
901003684511382   67.1115904665  -62.8551748021 13.72
901003684607217   67.5125322242  -62.7895174079 14.41
901003684704759   67.9624165858  -62.8213158896 13.81
901003684707104   68.0596398147  -62.6731833957 13.99
901003684801283   68.3549282552  -62.7458412780 14.32
901003684804491   68.4907819528  -62.6896873085 14.02
901003684807389   68.6113367136  -62.8473239501 13.74
901003684810550   68.7321112185  -62.6512781463 14.22
901003684810924   68.7446303548  -62.7076888166 14.33
901003684907351   69.1272126820  -62.8241973680 14.40
901003684912540   69.3321036768  -62.7309341783 13.55
901003685001287   69.4387139855  -62.8217112534 14.10
901003685010927   69.8010601280  -62.7861754671 13.91
901003685103855   70.0655531817  -62.8094542855 14.36
901003685110139   70.2830711671  -62.7883793762 14.20
901003685111599   70.3328504146  -62.7418714107 14.40
901003685211085   70.8344836756  -62.6783473215 13.90
901003685305120   71.1877525655  -62.7341819795 14.37
901003685305757   71.2086345561  -62.7927241350 14.11
901003685308454   71.2994182366  -62.6988317767 14.29
901003685406897   71.7911828981  -62.6461774111 13.61
901003685408594   71.8546165688  -62.7645143222 14.12
901003685415841   72.1038012970  -62.8689199711 14.22
901003685503810   72.2379103693  -62.7137300992 14.35
901003685504143   72.2507323170  -62.8449917099 14.40
901003685512383   72.5338140511  -62.7987781900 14.23
901003685512577   72.5407579719  -62.8471905926 14.09
901003685513846   72.5811474756  -62.8528847593 14.12
901003750200162   62.5214465582  -62.4167076947 14.27
901003750202063   62.6229415309  -62.4404477493 14.19
901003750209451   62.9817419259  -62.3832180284 13.79
901003750300857   63.0916949331  -62.5595483128 13.44
901003750305022   63.3328458069  -62.5067571939 13.97
901003750305307   63.3605499040  -62.5662300198 13.84
901003750307956   63.5323797171  -62.4218797598 13.85
901003750506946   64.4956178141  -62.5932967003 14.31
